,link,title,year,marketing_year,price,price_text,price_info,price_info_price,kms,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
240,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my23/SHRM-AD-6298382/?Cr=240,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY23,2022,MY23,52905.0,"$52,905",Indicative Drive Away*,52905.0,0,SHRM-AD-6298382,dealer,Subaru,Outback,    Sport 6GEN   ,,SUV,Automatic,4cyl 2.5L Petrol,,
241,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my23/SHRM-AD-6298383/?Cr=241,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY23,2022,MY23,52905.0,"$52,905",Indicative Drive Away*,52905.0,0,SHRM-AD-6298383,dealer,Subaru,Outback,    Sport 6GEN   ,,SUV,Automatic,4cyl 2.5L Petrol,,
242,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my23/SHRM-AD-6298381/?Cr=242,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY23,2022,MY23,52905.0,"$52,905",Indicative Drive Away*,52905.0,0,SHRM-AD-6298381,dealer,Subaru,Outback,    Sport 6GEN   ,,SUV,Automatic,4cyl 2.5L Petrol,,
243,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my23/SHRM-AD-6298379/?Cr=243,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY23,2022,MY23,52905.0,"$52,905",Indicative Drive Away*,52905.0,0,SHRM-AD-6298379,dealer,Subaru,Outback,    Sport 6GEN   ,,SUV,Automatic,4cyl 2.5L Petrol,,
244,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my23/SHRM-AD-6298380/?Cr=244,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY23,2022,MY23,52905.0,"$52,905",Indicative Drive Away*,52905.0,0,SHRM-AD-6298380,dealer,Subaru,Outback,    Sport 6GEN   ,,SUV,Automatic,4cyl 2.5L Petrol,,
245,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-sport-6gen-auto-awd-my23/SHRM-AD-6298384/?Cr=245,2022 Subaru Outback AWD Sport 6GEN Auto AWD MY23,2022,MY23,52905.0,"$52,905",Indicative Drive Away*,52905.0,0,SHRM-AD-6298384,dealer,Subaru,Outback,    Sport 6GEN   ,,SUV,Automatic,4cyl 2.5L Petrol,,
246,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-21124217/?Cr=246,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,52988.0,"$52,988*",Excl. Govt. Charges,52988.0,2252,OAG-AD-21124217,dealer,Subaru,Outback,    Touring 6GEN   ,WA,SUV,Automatic,4cyl 2.5L Petrol,,"2,252 km"
247,https://www.carsales.com.au/cars/details/2020-subaru-outback-awd-touring-6gen-auto-awd-my21/OAG-AD-21254017/?Cr=247,2020 Subaru Outback AWD Touring 6GEN Auto AWD MY21,2020,MY21,52999.0,"$52,999*",Excl. Govt. Charges,52999.0,27819,OAG-AD-21254017,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"27,819 km"
248,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-20566891/?Cr=248,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,54990.0,"$54,990 Drive Away","$53,195 Excl. Est. Govt. Charges",53195.0,2078,OAG-AD-20566891,dealer,Subaru,Outback,    Touring 6GEN   ,NSW,SUV,Automatic,4cyl 2.5L Petrol,,"2,078 km"
249,https://www.carsales.com.au/cars/details/2022-subaru-outback-awd-touring-6gen-auto-awd-my22/OAG-AD-21447534/?Cr=249,2022 Subaru Outback AWD Touring 6GEN Auto AWD MY22,2022,MY22,55111.0,"$55,111 Drive Away","$53,476 Excl. Est. Govt. Charges",53476.0,6779,OAG-AD-21447534,dealer,Subaru,Outback,    Touring 6GEN   ,QLD,SUV,Automatic,4cyl 2.5L Petrol,,"6,779 km"
