,link,title,year,marketing_year,price,price_text,price_info,id,category,make,model,badge,state,body_style,transmission,engine,build_date,odometer
176,https://www.carsales.com.au/cars/details/2011-ford-mondeo-titanium-ecoboost-mc-auto/SSE-AD-12475059/?Cr=176,2011 Ford Mondeo Titanium EcoBoost MC Auto,2011,,10999,"$10,999*",Excl. Govt. Charges,SSE-AD-12475059,private,Ford,Mondeo,   Titanium EcoBoost MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"181,050 km"
177,https://www.carsales.com.au/cars/details/2010-ford-mondeo-zetec-tdci-mb-auto-my11/SSE-AD-13733997/?Cr=177,2010 Ford Mondeo Zetec TDCi MB Auto MY11,2010,MY11,5999,"$5,999*",Excl. Govt. Charges,SSE-AD-13733997,private,Ford,Mondeo,   Zetec TDCi MB  ,SA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"290,000 km"
178,https://www.carsales.com.au/cars/details/2017-ford-mondeo-titanium-md-auto-my17-5/SSE-AD-13228839/?Cr=178,2017 Ford Mondeo Titanium MD Auto MY17.5,2017,MY17.5,27500,"$27,500*",Excl. Govt. Charges,SSE-AD-13228839,private,Ford,Mondeo,   Titanium MD  ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"66,000 km"
179,https://www.carsales.com.au/cars/details/2010-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-12748376/?Cr=179,2010 Ford Mondeo Zetec TDCi MC Auto,2010,,9800,"$9,800*",Excl. Govt. Charges,SSE-AD-12748376,private,Ford,Mondeo,   Zetec TDCi MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"255,000 km"
180,https://www.carsales.com.au/cars/details/2011-ford-mondeo-lx-tdci-mc-auto/SSE-AD-11943832/?Cr=180,2011 Ford Mondeo LX TDCi MC Auto,2011,,8500,"$8,500*",Excl. Govt. Charges,SSE-AD-11943832,private,Ford,Mondeo,   LX TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"211,600 km"
181,https://www.carsales.com.au/cars/details/2013-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-13733399/?Cr=181,2013 Ford Mondeo Zetec TDCi MC Auto,2013,,10900,"$10,900*",Excl. Govt. Charges,SSE-AD-13733399,private,Ford,Mondeo,   Zetec TDCi MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"102,500 km"
182,https://www.carsales.com.au/cars/details/2019-ford-mondeo-ambiente-md-auto-my18-75/OAG-AD-21009340/?Cr=182,2019 Ford Mondeo Ambiente MD Auto MY18.75,2019,MY18.75,29990,"$29,990*",Excl. Govt. Charges,OAG-AD-21009340,dealer,Ford,Mondeo,   Ambiente MD  ,SA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"78,000 km"
183,https://www.carsales.com.au/cars/details/2012-ford-mondeo-lx-mc-auto/SSE-AD-13344625/?Cr=183,2012 Ford Mondeo LX MC Auto,2012,,11000,"$11,000*",Excl. Govt. Charges,SSE-AD-13344625,private,Ford,Mondeo,   LX MC ,WA,Hatch,Automatic,4cyl 2.3L Petrol,,"142,000 km"
184,https://www.carsales.com.au/cars/details/2012-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-12827136/?Cr=184,2012 Ford Mondeo Zetec TDCi MC Auto,2012,,7800,"$7,800*",Excl. Govt. Charges,SSE-AD-12827136,private,Ford,Mondeo,   Zetec TDCi MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"257,000 km"
185,https://www.carsales.com.au/cars/details/2017-ford-mondeo-titanium-md-auto-my17-5/SSE-AD-13726130/?Cr=185,2017 Ford Mondeo Titanium MD Auto MY17.5,2017,MY17.5,27000,"$27,000*",Excl. Govt. Charges,SSE-AD-13726130,private,Ford,Mondeo,   Titanium MD  ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"120,000 km"
186,https://www.carsales.com.au/cars/details/2015-ford-mondeo-trend-md-auto/SSE-AD-13112635/?Cr=186,2015 Ford Mondeo Trend MD Auto,2015,,12999,"$12,999*",Excl. Govt. Charges,SSE-AD-13112635,private,Ford,Mondeo,   Trend MD ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"207,256 km"
187,https://www.carsales.com.au/cars/details/2012-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13032356/?Cr=187,2012 Ford Mondeo LX TDCi MC Auto,2012,,7750,"$7,750*",Excl. Govt. Charges,SSE-AD-13032356,private,Ford,Mondeo,   LX TDCi MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"238,411 km"
188,https://www.carsales.com.au/cars/details/2017-ford-mondeo-trend-md-auto-my17-5/SSE-AD-14026935/?Cr=188,2017 Ford Mondeo Trend MD Auto MY17.5,2017,MY17.5,27500,"$27,500*",Excl. Govt. Charges,SSE-AD-14026935,private,Ford,Mondeo,   Trend MD  ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"51,000 km"
189,https://www.carsales.com.au/cars/details/2010-ford-mondeo-lx-mc-auto/SSE-AD-14017350/?Cr=189,2010 Ford Mondeo LX MC Auto,2010,,7500,"$7,500*",Excl. Govt. Charges,SSE-AD-14017350,private,Ford,Mondeo,   LX MC ,NSW,Wagon,Automatic,4cyl 2.3L Petrol,,"158,000 km"
190,https://www.carsales.com.au/cars/details/2014-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-14182199/?Cr=190,2014 Ford Mondeo Zetec TDCi MC Auto,2014,,3500,"$3,500*",Excl. Govt. Charges,SSE-AD-14182199,private,Ford,Mondeo,   Zetec TDCi MC ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"367,600 km"
191,https://www.carsales.com.au/cars/details/2013-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13293749/?Cr=191,2013 Ford Mondeo LX TDCi MC Auto,2013,,7999,"$7,999*",Excl. Govt. Charges,SSE-AD-13293749,private,Ford,Mondeo,   LX TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"204,955 km"
192,https://www.carsales.com.au/cars/details/2016-ford-mondeo-ambiente-md-auto/SSE-AD-14056091/?Cr=192,2016 Ford Mondeo Ambiente MD Auto,2016,,17000,"$17,000*",Excl. Govt. Charges,SSE-AD-14056091,private,Ford,Mondeo,   Ambiente MD ,NSW,Wagon,Automatic,4cyl 2.0L Turbo Petrol,,"103,000 km"
193,https://www.carsales.com.au/cars/details/2013-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-13682795/?Cr=193,2013 Ford Mondeo Zetec TDCi MC Auto,2013,,10500,"$10,500*",Excl. Govt. Charges,SSE-AD-13682795,private,Ford,Mondeo,   Zetec TDCi MC ,VIC,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"197,000 km"
194,https://www.carsales.com.au/cars/details/2015-ford-mondeo-ambiente-md-auto/SSE-AD-7072630/?Cr=194,2015 Ford Mondeo Ambiente MD Auto,2015,,14900,"$14,900*",Excl. Govt. Charges,SSE-AD-7072630,private,Ford,Mondeo,   Ambiente MD ,WA,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"215,000 km"
195,https://www.carsales.com.au/cars/details/2016-ford-mondeo-titanium-md-auto/SSE-AD-13911967/?Cr=195,2016 Ford Mondeo Titanium MD Auto,2016,,27000,"$27,000*",Excl. Govt. Charges,SSE-AD-13911967,private,Ford,Mondeo,   Titanium MD ,QLD,Hatch,Automatic,4cyl 2.0L Turbo Petrol,,"53,336 km"
196,https://www.carsales.com.au/cars/details/2011-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13322239/?Cr=196,2011 Ford Mondeo LX TDCi MC Auto,2011,,10000,"$10,000*",Excl. Govt. Charges,SSE-AD-13322239,private,Ford,Mondeo,   LX TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"188,360 km"
197,https://www.carsales.com.au/cars/details/2012-ford-mondeo-lx-tdci-mc-auto/SSE-AD-13701028/?Cr=197,2012 Ford Mondeo LX TDCi MC Auto,2012,,12300,"$12,300*",Excl. Govt. Charges,SSE-AD-13701028,private,Ford,Mondeo,   LX TDCi MC ,NSW,Hatch,Automatic,4cyl 2.0L Turbo Diesel,,"93,276 km"
198,https://www.carsales.com.au/cars/details/2015-ford-mondeo-ambiente-md-auto/SSE-AD-14013636/?Cr=198,2015 Ford Mondeo Ambiente MD Auto,2015,,10900,"$10,900*",Excl. Govt. Charges,SSE-AD-14013636,private,Ford,Mondeo,   Ambiente MD ,QLD,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"218,640 km"
199,https://www.carsales.com.au/cars/details/2012-ford-mondeo-zetec-tdci-mc-auto/SSE-AD-13430687/?Cr=199,2012 Ford Mondeo Zetec TDCi MC Auto,2012,,8950,"$8,950*",Excl. Govt. Charges,SSE-AD-13430687,private,Ford,Mondeo,   Zetec TDCi MC ,VIC,Wagon,Automatic,4cyl 2.0L Turbo Diesel,,"192,000 km"
